1,2,3,4,5,6,7,8,REF
164.5271,164.5267,164.5697,164.6769,164.7421,164.446,164.518,164.6218,159.915
164.5243,164.5257,164.5679,164.6745,164.7393,164.4437,164.5154,164.6196,159.914
164.5253,164.527,164.5674,164.6746,164.7386,164.4453,164.517,164.6211,159.914
164.5248,164.5264,164.5692,164.674,164.741,164.4453,164.5139,164.6186,159.914
164.5246,164.5267,164.5689,164.6726,164.7405,164.445,164.5149,164.6203,159.914
164.5243,164.5279,164.5687,164.6735,164.7395,164.4458,164.517,164.6201,159.913
164.5259,164.5282,164.5694,164.6758,164.7395,164.446,164.5175,164.6203,159.913
164.5226,164.5272,164.5689,164.6715,164.7385,164.4435,164.5121,164.6188,159.914
164.5231,164.5269,164.5676,164.6718,164.7377,164.4424,164.5149,164.6203,159.913
164.5248,164.5249,164.5684,164.6735,164.737,164.4429,164.5177,164.6193,159.913
164.5197,164.5254,164.5656,164.6682,164.736,164.444,164.5122,164.6178,159.913
164.5211,164.5247,164.5658,164.6697,164.7373,164.4415,164.514,164.6188,159.912
164.523,164.5259,164.5653,164.6725,164.7386,164.4432,164.5172,164.62,159.911
164.5274,164.5274,164.5706,164.6745,164.7408,164.4462,164.5186,164.6208,159.912
164.5269,164.5282,164.5711,164.6759,164.7428,164.4481,164.5186,164.6224,159.913
164.5267,164.5284,164.5689,164.6766,164.7421,164.447,164.5188,164.6241,159.914
164.5206,164.5256,164.5681,164.6717,164.7398,164.445,164.5163,164.6223,159.915
164.52,164.5251,164.5664,164.6708,164.7378,164.445,164.5116,164.6209,159.915
164.522,164.5262,164.5681,164.6721,164.7393,164.4447,164.514,164.6201,159.914
164.5226,164.5274,164.5697,164.6738,164.7395,164.4457,164.5177,164.6208,159.913
